po_number,style,item_type,size,quantity
671558,804-6301-M,upper,5,8
671558,804-6301-M,upper,5.5,4
671558,804-6301-M,upper,6,8
671558,804-6301-M,upper,6.5,4
671558,804-6301-M,upper,7,20
671558,804-6301-M,upper,7.5,8
671558,804-6301-M,upper,8,40
671558,804-6301-M,upper,8.5,16
671558,804-6301-M,upper,9,80
671558,804-6301-M,upper,9.5,48
671558,804-6301-M,upper,10,120
671558,804-6301-M,upper,10.5,68
671558,804-6301-M,upper,11,120
671558,804-6301-M,upper,11.5,40
671558,804-6301-M,upper,12,104
671558,804-6301-M,upper,12.5,16
671558,804-6301-M,upper,13,56
671558,804-6301-M,upper,13.5,8
671558,804-6301-M,upper,14,24
671558,804-6301-M,upper,14.5,4
671558,804-6301-M,upper,15,8
671558,804-6301-M,upper,16,4
671558,804-6301-W,upper,5,4
671558,804-6301-W,upper,5.5,4
671558,804-6301-W,upper,6,4
671558,804-6301-W,upper,6.5,4
671558,804-6301-W,upper,7,8
671558,804-6301-W,upper,7.5,4
671558,804-6301-W,upper,8,16
671558,804-6301-W,upper,8.5,8
671558,804-6301-W,upper,9,32
671558,804-6301-W,upper,9.5,16
671558,804-6301-W,upper,10,52
671558,804-6301-W,upper,10.5,24
671558,804-6301-W,upper,11,48
671558,804-6301-W,upper,11.5,16
671558,804-6301-W,upper,12,40
671558,804-6301-W,upper,12.5,8
671558,804-6301-W,upper,13,24
671558,804-6301-W,upper,13.5,4
671558,804-6301-W,upper,14,8
671558,804-6301-W,upper,14.5,4
671558,804-6301-W,upper,15,4
671558,804-6301-XW,upper,8,4
671558,804-6301-XW,upper,9,4
671558,804-6301-XW,upper,9.5,4
671558,804-6301-XW,upper,10,8
671558,804-6301-XW,upper,10.5,4
671558,804-6301-XW,upper,11,8
671558,804-6301-XW,upper,11.5,4
671558,804-6301-XW,upper,12,4
671558,804-6301-XW,upper,13,4
671558,804-6301-M,sample,10,2
671558,804-6301-M,outsole,5,8
671558,804-6301-M,outsole,5.5,4
671558,804-6301-M,outsole,6,8
671558,804-6301-M,outsole,6.5,4
671558,804-6301-M,outsole,7,20
671558,804-6301-M,outsole,7.5,8
671558,804-6301-M,outsole,8,40
671558,804-6301-M,outsole,8.5,16
671558,804-6301-M,outsole,9,80
671558,804-6301-M,outsole,9.5,48
671558,804-6301-M,outsole,10,122
671558,804-6301-M,outsole,10.5,68
671558,804-6301-M,outsole,11,120
671558,804-6301-M,outsole,11.5,40
671558,804-6301-M,outsole,12,104
671558,804-6301-M,outsole,12.5,16
671558,804-6301-M,outsole,13,56
671558,804-6301-M,outsole,13.5,8
671558,804-6301-M,outsole,14,24
671558,804-6301-M,outsole,14.5,4
671558,804-6301-M,outsole,15,8
671558,804-6301-M,outsole,16,4
671558,804-6301-W,outsole,5,4
671558,804-6301-W,outsole,5.5,4
671558,804-6301-W,outsole,6,4
671558,804-6301-W,outsole,6.5,4
671558,804-6301-W,outsole,7,8
671558,804-6301-W,outsole,7.5,4
671558,804-6301-W,outsole,8,16
671558,804-6301-W,outsole,8.5,8
671558,804-6301-W,outsole,9,32
671558,804-6301-W,outsole,9.5,16
671558,804-6301-W,outsole,10,52
671558,804-6301-W,outsole,10.5,24
671558,804-6301-W,outsole,11,48
671558,804-6301-W,outsole,11.5,16
671558,804-6301-W,outsole,12,40
671558,804-6301-W,outsole,12.5,8
671558,804-6301-W,outsole,13,24
671558,804-6301-W,outsole,13.5,4
671558,804-6301-W,outsole,14,8
671558,804-6301-W,outsole,14.5,4
671558,804-6301-W,outsole,15,4
671558,804-6301-XW,outsole,8,4
671558,804-6301-XW,outsole,9,4
671558,804-6301-XW,outsole,9.5,4
671558,804-6301-XW,outsole,10,8
671558,804-6301-XW,outsole,10.5,4
671558,804-6301-XW,outsole,11,8
671558,804-6301-XW,outsole,11.5,4
671558,804-6301-XW,outsole,12,4
671558,804-6301-XW,outsole,13,4
